SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
CINE0001,"CINC NEGRO ACN 100-2 8 KG 4""",0.21,Almacen Uno                                                 ,35100
PIJA0011,"PIJA GOTA DE AGUA 8 X 3/4""*",0.26,Almacen Uno                                                 ,21723
TAQU0072,"TAQUETE GARRA AG 1/4""",0.43,Almacen Uno                                                 ,20579
TAQU0073,"TAQUETE GARRA AG 5/16""",0.38,Almacen Uno                                                 ,19500
ZAPU0003,TERM PUNTA FERRUL CAL 14-16 AZUL*,2.19,Almacen Uno                                                 ,18200
CCON0011IN,CABLE THW-LS CAL 12 ROJO*,14.36,Almacen Uno                                                 ,17394
TUHE0001,"TUERCA HEXAGONAL 1/4""*",0.3,Almacen Uno                                                 ,16302
CCON0005,CABLE THW-LS CAL 14 NEGRO*,10.22,Almacen Uno                                                 ,15977
CCON0007,CABLE THW-LS CAL 14 ROJO*,10.22,Almacen Uno                                                 ,15600
CONT0001,"CONTRATUERCA 1/2""*",1.69,Almacen Uno                                                 ,15561
CCON0006,CABLE THW-LS CAL 14 BLANCO*,10.22,Almacen Uno                                                 ,15145
POAN0001,"POLIDUCTO ANILLADA 1/2"" C/GUIA",3.62,Almacen Uno                                                 ,14950
CCON0008,CABLE THW-LS CAL 14 VERDE*,10.22,Almacen Uno                                                 ,13952
CCON0014IN,CABLE THW-LS CAL 10 BLANCO*,23.68,Almacen Uno                                                 ,13559
CCON0011,CABLE THW-LS CAL 12 ROJO*,17.55,Almacen Uno                                                 ,13200
POAN0002,"POLIDUCTO ANILLADA 3/4"" C/GUIA",6.78,Almacen Uno                                                 ,13104
CINA0001,"CINC NATURAL ACT 100-2 8 KG  4""",0.23,Almacen Uno                                                 ,12857
PIPB0025,"PIJA P. BROCA CAB HEXA 1/4"" X 1 1/2""*",4.05,Almacen Uno                                                 ,12688
40069,100P ZAS PIJA TABLAROCA N 8 X 1 1/2 FIERO*,46,Almacen Uno                                                 ,11635
FULM0003,FULMINANTE EN TIRA CAL 27 ROJO*,4.34,Almacen Uno                                                 ,10400
ABUR0003,"ABRAZADERA U 1/4"" P/TUBO DE 1""*",10.97,Almacen Uno                                                 ,10270
CINE0004,"CINC NEGRO ACN 140-3 18 KG 6""",0.47,Almacen Uno                                                 ,9100
ZAAM0002,"ZAPATA ANILLO AMARILLO CAL 12-10 1/4""*",1.64,Almacen Uno                                                 ,8847
CCON0014,CABLE THW-LS CAL 10 BLANCO,27.81,Almacen Uno                                                 ,8581
TUHE0003,"TUERCA HEXAGONAL 3/8""*",1.02,Almacen Uno                                                 ,8409
PIPB0037,"PIJA P. BROCA ESTRELLA CAB RED 8 X 1/2""*",0.24,Almacen Uno                                                 ,8294
ZAPU0001,TERM PUNTA FERRUL CAL 10 AMARILLA*,2.19,Almacen Uno                                                 ,8100
CCON0018,CABLE THW-LS CAL 8 BLANCO,36.68,Almacen Uno                                                 ,7957
CONT0002,"CONTRATUERCA 3/4""*",2.5,Almacen Uno                                                 ,7813
PIJAT0010,"PIJA TABLA ROCA NEGRO 7X 2 1/2""*",0.51,Almacen Uno                                                 ,7800
ZAPU0002,TERM PUNTA FERRUL CAL 18-20 ROJA*,1.98,Almacen Uno                                                 ,7800
CINE0003,"CINC NEGRO ACN 200-2 8KG 8""",0.45,Almacen Uno                                                 ,7800
CCON0013IN,CABLE THW-LS CAL 10 NEGRO*,23.68,Almacen Uno                                                 ,7683
FULM0002,FULMINANTE CAL 22 VERDE RAMSET*,3.63,Almacen Uno                                                 ,7618
ARAN0002,"ARANDELA GALV PLANA 1/4""*",0.18,Almacen Uno                                                 ,7137
44339,BOLSA CON 100 PIJAS N6* 1 1/2*,30.17,Almacen Uno                                                 ,7124
ZARO0001,"ZAPATA ANILLO ROJO CAL 22-18 3/16""",0.74,Almacen Uno                                                 ,7111
ZAPU0004,TERM PUNTA FERRUL CAL 18-22 ROJA*,1.98,Almacen Uno                                                 ,7111
TOHE0002,"TORNILLO CAB HEXA 1/4"" X 1""*",0.66,Almacen Uno                                                 ,6890
TPVC0002,"TUBO PVC T. PESADO 3/4""*",8.89,Almacen Uno                                                 ,6881
CAIT0018,"TAPA CUADRADA 4""",26.64,Almacen Uno                                                 ,6786
