SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
100435,,,,Ferretería general,"AFI-TIJ+E1.jpg, AFI-TIJ+EI1.jpg, AFI-TIJ+EIND1.jpg, AFI-TIJ+EM1.jpg, AFI-TIJ+FC1.jpg, AFI-TIJ+FC2.jpg, AFI-TIJ+FC3.jpg, AFI-TIJ.jpg",Marca,Truper,Medida,
100777,,,,Ferretería general,"CAIMAN-T+E1.jpg, CAIMAN-T+EI1.jpg, CAIMAN-T+EIND1.jpg, CAIMAN-T+EM1.jpg, CAIMAN-T+FC1.jpg, CAIMAN-T+FC2.jpg, CAIMAN-T.jpg",Marca,Truper,Medida,
101089,,,,Ferretería general,"CAPRI-18R+D1.jpg, CAPRI-18R+FC1.jpg, CAPRI-18R.jpg",Marca,Truper,Medida,
101112,,,,Ferretería general,"CAPRI-14R+D1.jpg, CAPRI-14R+EI1.jpg, CAPRI-14R+EIND1.jpg, CAPRI-14R+EM1.jpg, CAPRI-14R+FC1.jpg, CAPRI-14R.jpg",Marca,Truper,Medida,
101113,,,,Ferretería general,"CAPRI-14N+D1.jpg, CAPRI-14N+EI1.jpg, CAPRI-14N+EIND1.jpg, CAPRI-14N+EM1.jpg, CAPRI-14N+FC1.jpg, CAPRI-14N.jpg",Marca,Truper,Medida,
101114,,,,Ferretería general,"CAPRI-12R+D1.jpg, CAPRI-12R+E1.jpg, CAPRI-12R+EI1.jpg, CAPRI-12R+EIND1.jpg, CAPRI-12R+EM1.jpg, CAPRI-12R+FC1.jpg, CAPRI-12R.jpg",Marca,Truper,Medida,
101115,,,,Ferretería general,"CAPRI-12N+D1.jpg, CAPRI-12N+E1.jpg, CAPRI-12N+EI1.jpg, CAPRI-12N+EIND1.jpg, CAPRI-12N+EM1.jpg, CAPRI-12N+FC1.jpg, CAPRI-12N.jpg",Marca,Truper,Medida,
101116,,,,Ferretería general,"CAPRI-10R+D1.jpg, CAPRI-10R+EI1.jpg, CAPRI-10R+EIND1.jpg, CAPRI-10R+EM1.jpg, CAPRI-10R+FC1.jpg, CAPRI-10R.jpg",Marca,Truper,Medida,
101117,,,,Ferretería general,"CAPRI-10N+D1.jpg, CAPRI-10N+EI1.jpg, CAPRI-10N+EIND1.jpg, CAPRI-10N+EM1.jpg, CAPRI-10N+FC1.jpg, CAPRI-10N.jpg",Marca,Truper,Medida,
101120,,,,Ferretería general,"CAPRI-18N+D1.jpg, CAPRI-18N+EI1.jpg, CAPRI-18N+EIND1.jpg, CAPRI-18N+EM1.jpg, CAPRI-18N+FC1.jpg, CAPRI-18N.jpg",Marca,Truper,Medida,
101121,,,,Ferretería general,"CAPRI-16R+D1.jpg, CAPRI-16R+EI1.jpg, CAPRI-16R+EIND1.jpg, CAPRI-16R+FC1.jpg, CAPRI-16R.jpg",Marca,Truper,Medida,
101122,,,,Ferretería general,"CAPRI-16N+D1.jpg, CAPRI-16N+EI1.jpg, CAPRI-16N+EIND1.jpg, CAPRI-16N+EM1.jpg, CAPRI-16N+FC1.jpg, CAPRI-16N.jpg",Marca,Truper,Medida,
101571,,,,Ferretería general,"GRAS-45C+BDER1.jpg, GRAS-45C+BIZQ1.jpg, GRAS-45C.jpg",Marca,Truper,Medida,
101572,,,,Ferretería general,"GRAS-350C+BDER1.jpg, GRAS-350C+BIZQ1.jpg, GRAS-350C.jpg",Marca,Truper,Medida,
101573,,,,Ferretería general,"GRAS-350+BDER1.jpg, GRAS-350+BIZQ1.jpg, GRAS-350.jpg",Marca,Truper,Medida,
101574,,,,Ferretería general,"GRAS-45B+BDER1.jpg, GRAS-45B+BIZQ1.jpg, GRAS-45B+EI1.jpg, GRAS-45B+EM1.jpg, GRAS-45B.jpg",Marca,Truper,Medida,
101610,,,,Ferretería general,"CARBA-1+D1.jpg, CARBA-1+D2.jpg, CARBA-1+E1.jpg, CARBA-1+EI1.jpg, CARBA-1+EM1.jpg, CARBA-1+FC1.jpg, CARBA-1+FC2.jpg, CARBA-1.jpg",Marca,Truper,Medida,
101684,,,,Ferretería general,"AFB-118+D2.jpg, AFB-118+E1.jpg, AFB-118+EI1.jpg, AFB-118+EIND1.jpg, AFB-118+EM1.jpg, AFB-118+FC1.jpg, AFB-118.jpg",Marca,Truper,Medida,
101723,,,,Ferretería general,"INF-20+EI1.jpg, INF-20+EIND1.jpg, INF-20+EM1.jpg, INF-20.jpg",Marca,Truper,Medida,
101739,,,,Ferretería general,"SU-400R+D1.jpg, SU-400R+EI1.jpg, SU-400R+EIND1.jpg, SU-400R+EM1.jpg, SU-400R+FC1.jpg, SU-400R+FC2.jpg, SU-400R.jpg",Marca,Truper,Medida,
101741,,,,Ferretería general,"SU-1000C4+D1.jpg, SU-1000C4+FC1.jpg, SU-1000C4+FC2.jpg, SU-1000C4.jpg",Marca,Truper,Medida,
101742,,,,Ferretería general,"SU-675R4+D1.jpg, SU-675R4+EI1.jpg, SU-675R4+EIND1.jpg, SU-675R4+EM1.jpg, SU-675R4+FC1.jpg, SU-675R4+FC2.jpg, SU-675R4.jpg",Marca,Truper,Medida,
